"term","gene"
"GO:0006284","APN2"
"GO:0006974","APN2"
"GO:0006487","RFT1"
"GO:0006488","RFT1"
"GO:0034203","RFT1"
"GO:0006109","HAP3"
"GO:0006355","HAP3"
"GO:0043457","HAP3"
"GO:0045944","HAP3"
"GO:0006457","PIM1"
"GO:0006508","PIM1"
"GO:0006515","PIM1"
"GO:0007005","PIM1"
"GO:0009408","PIM1"
"GO:0030163","PIM1"
"GO:0032042","PIM1"
"GO:0033108","PIM1"
"GO:0034599","PIM1"
"GO:0051131","PIM1"
"GO:0070407","PIM1"
"GO:0141164","PIM1"
"GO:1901858","PIM1"
"GO:0000727","MCM2"
"GO:0006260","MCM2"
"GO:0006267","MCM2"
"GO:0006270","MCM2"
"GO:0006271","MCM2"
"GO:0006279","MCM2"
"GO:0006974","MCM2"
"GO:1902975","MCM2"
"GO:0001510","NCL1"
"GO:0002127","NCL1"
"GO:0006400","NCL1"
"GO:0008033","NCL1"
"GO:0030488","NCL1"
"GO:0032259","NCL1"
"GO:0070301","NCL1"
"GO:0006360","RRN10"
"GO:0042790","RRN10"
"GO:0045943","RRN10"
"GO:0000290","LSM2"
"GO:0000398","LSM2"
"GO:0006364","LSM2"
"GO:0006397","LSM2"
"GO:0008033","LSM2"
"GO:0008380","LSM2"
"GO:0002181","RPL19B"
"GO:0006412","RPL19B"
"GO:0008150","YBL028C"
"GO:0008150","YBL029W"
"GO:0015867","PET9"
"GO:0006839","PET9"
"GO:0006915","PET9"
"GO:0009060","PET9"
"GO:0009061","PET9"
"GO:0015866","PET9"
"GO:0015886","PET9"
"GO:0055085","PET9"
"GO:0140021","PET9"
"GO:1990544","PET9"
"GO:0000022","SHE1"
"GO:0007059","SHE1"
"GO:0040001","SHE1"
"GO:0051301","SHE1"
"GO:0000723","HEK2"
"GO:0006325","HEK2"
"GO:0006417","HEK2"
"GO:0007004","HEK2"
"GO:0008298","HEK2"
"GO:0048255","HEK2"
"GO:0051028","HEK2"
"GO:0009231","RIB1"
"GO:0000226","STU1"
"GO:0000278","STU1"
"GO:0008608","STU1"
"GO:0051301","STU1"
"GO:0090307","STU1"
"GO:0006260","POL12"
"GO:0006270","POL12"
"GO:0016233","POL12"
"GO:0071897","POL12"
"GO:0042816","YBL036C"
"GO:0006886","APL3"
"GO:0006897","APL3"
"GO:0015031","APL3"
"GO:0016192","APL3"
"GO:0072583","APL3"
"GO:0006412","MRPL16"
"GO:0032543","MRPL16"
"GO:0006221","URA7"
"GO:0006241","URA7"
"GO:0008654","URA7"
"GO:0019856","URA7"
"GO:0044210","URA7"
"GO:0006621","ERD2"
"GO:0006890","ERD2"
"GO:0015031","ERD2"
"GO:0016192","ERD2"
"GO:0010499","PRE7"
"GO:0043161","PRE7"
"GO:0015862","FUI1"
"GO:0055085","FUI1"
"GO:0008150","ECM13"
"GO:0071555","ECM13"
"GO:0008150","YBL044W"
"GO:0006122","COR1"
"GO:0009060","COR1"
"GO:0022904","COR1"
"GO:0045333","COR1"
"GO:1902600","COR1"
"GO:0051598","PSY4"
"GO:2000002","PSY4"
"GO:0006897","EDE1"
"GO:0030968","EDE1"
"GO:0032467","EDE1"
"GO:0032880","EDE1"
"GO:0044396","EDE1"
"GO:0008150","RRT1"
"GO:0006915","MOH1"
"GO:0008150","MOH1"
"GO:0006886","SEC17"
"GO:0006914","SEC17"
"GO:0015031","SEC17"
"GO:0016192","SEC17"
"GO:0035494","SEC17"
"GO:0042144","SEC17"
"GO:0048280","SEC17"
"GO:0000077","PIN4"
"GO:0000086","PIN4"
"GO:0006325","SAS3"
"GO:0006351","SAS3"
"GO:0006355","SAS3"
"GO:0030466","SAS3"
"GO:0031507","SAS3"
"GO:0031509","SAS3"
"GO:0006357","TOD6"
"GO:0006309","YBL055C"
"GO:0034599","YBL055C"
"GO:0000079","PTC3"
"GO:0010508","PTC3"
"GO:1903753","PTC3"
"GO:1904289","PTC3"
"GO:0032435","PTH2"
"GO:0000045","SHP1"
"GO:0005977","SHP1"
"GO:0030437","SHP1"
"GO:0031134","SHP1"
"GO:0034727","SHP1"
"GO:0036503","SHP1"
"GO:0043161","SHP1"
"GO:0043335","SHP1"
"GO:0008150","IAI11"
"GO:0008104","YEL1"
"GO:0010513","YEL1"
"GO:0032012","YEL1"
"GO:0051666","YEL1"
"GO:0006031","SKT5"
"GO:0098653","KIP1"
"GO:0000022","KIP1"
"GO:0000070","KIP1"
"GO:0000073","KIP1"
"GO:0007018","KIP1"
"GO:0007019","KIP1"
"GO:0030543","KIP1"
"GO:0051301","KIP1"
"GO:0090307","KIP1"
"GO:0050821","PRX1"
"GO:0045454","PRX1"
"GO:0098869","PRX1"
"GO:0006351","SEF1"
"GO:0006355","SEF1"
"GO:0006357","SEF1"
"GO:0030435","SEF1"
"GO:0045893","SEF1"
"GO:0006508","UBP13"
"GO:0010995","UBP13"
"GO:0016579","UBP13"
"GO:0006015","PRS4"
"GO:0009156","PRS4"
"GO:0009165","PRS4"
"GO:0006612","AST1"
"GO:0032596","AST1"
"GO:0008150","YBL071C"
"GO:0000462","RPS8A"
"GO:0006412","RPS8A"
"GO:0000244","AAR2"
"GO:0000387","AAR2"
"GO:0006397","AAR2"
"GO:0008380","AAR2"
"GO:0006457","SSA3"
"GO:0006515","SSA3"
"GO:0006616","SSA3"
"GO:0006412","ILS1"
"GO:0006418","ILS1"
"GO:0006428","ILS1"
"GO:0106074","ILS1"
"GO:0000045","ATG8"
"GO:0000422","ATG8"
"GO:0006888","ATG8"
"GO:0006914","ATG8"
"GO:0015031","ATG8"
"GO:0016241","ATG8"
"GO:0031503","ATG8"
"GO:0032258","ATG8"
"GO:0034497","ATG8"
"GO:0034727","ATG8"
"GO:0044804","ATG8"
"GO:0061025","ATG8"
"GO:0061709","ATG8"
"GO:0071211","ATG8"
"GO:0140042","ATG8"
"GO:1905153","ATG8"
"GO:0006913","NUP170"
"GO:0007059","NUP170"
"GO:0015031","NUP170"
"GO:0031507","NUP170"
"GO:0034398","NUP170"
"GO:0036228","NUP170"
"GO:0051028","NUP170"
"GO:0051292","NUP170"
"GO:0006412","PET112"
"GO:0032543","PET112"
"GO:0070681","PET112"
"GO:0008150","YBL081W"
"GO:0006488","ALG3"
"GO:0009101","ALG3"
"GO:0007346","CDC27"
"GO:0016567","CDC27"
"GO:0031145","CDC27"
"GO:0051301","CDC27"
"GO:0051445","CDC27"
"GO:0000920","BOI1"
"GO:0006887","BOI1"
"GO:0007015","BOI1"
"GO:0007118","BOI1"
"GO:0051301","BOI1"
"GO:0099500","BOI1"
"GO:0008150","YBL086C"
"GO:0002181","RPL23A"
"GO:0006412","RPL23A"
"GO:0000723","TEL1"
"GO:0006281","TEL1"
"GO:0006302","TEL1"
"GO:0006325","TEL1"
"GO:0006974","TEL1"
"GO:0033554","TEL1"
"GO:0035556","TEL1"
"GO:0042770","TEL1"
"GO:0006865","AVT5"
"GO:0015813","AVT5"
"GO:0015825","AVT5"
"GO:0015828","AVT5"
"GO:0055085","AVT5"
"GO:0089709","AVT5"
"GO:1903401","AVT5"
"GO:1903826","AVT5"
"GO:0006412","MRP21"
"GO:0032543","MRP21"
"GO:0070124","MRP21"
"GO:0006508","MAP2"
"GO:0051604","MAP2"
"GO:0002181","RPL32"
"GO:0006412","RPL32"
"GO:0000122","ROX3"
"GO:0001113","ROX3"
"GO:0006357","ROX3"
"GO:0032968","ROX3"
"GO:0045944","ROX3"
"GO:0051123","ROX3"
"GO:0060261","ROX3"
"GO:0008150","MRX3"
"GO:0000070","BRN1"
"GO:0007076","BRN1"
"GO:0030261","BRN1"
"GO:0051301","BRN1"
"GO:0070058","BRN1"
"GO:0006569","BNA4"
"GO:0009435","BNA4"
"GO:0019363","BNA4"
"GO:0019674","BNA4"
"GO:0019805","BNA4"
"GO:0034354","BNA4"
"GO:0043420","BNA4"
"GO:0070189","BNA4"
"GO:0006754","ATP1"
"GO:0006811","ATP1"
"GO:0015986","ATP1"
"GO:0046034","ATP1"
"GO:1902600","ATP1"
"GO:0009267","ECM21"
"GO:0033554","ECM21"
"GO:0070086","ECM21"
"GO:0071230","ECM21"
"GO:0071555","ECM21"
"GO:0015031","SFT2"
"GO:0016192","SFT2"
"GO:0042147","SFT2"
"GO:0000422","RTG3"
"GO:0006357","RTG3"
"GO:0016559","RTG3"
"GO:0031930","RTG3"
"GO:0045944","RTG3"
"GO:0071400","RTG3"
"GO:0015031","SEA4"
"GO:1903432","SEA4"
"GO:1904263","SEA4"
"GO:0000425","PKC1"
"GO:0007165","PKC1"
"GO:0009267","PKC1"
"GO:0009272","PKC1"
"GO:0010606","PKC1"
"GO:0032186","PKC1"
"GO:0034063","PKC1"
"GO:0035556","PKC1"
"GO:0060211","PKC1"
"GO:0060237","PKC1"
"GO:0006887","SRO77"
"GO:0006893","SRO77"
"GO:0008150","MIX23"
"GO:0015031","MIX23"
"GO:1903749","MIX23"
"GO:0005975","NTH2"
"GO:0005991","NTH2"
"GO:0005993","NTH2"
